dataset,method,gamma,brittleness
FICO,Vanilla,0.0,0.06621961102106969
FICO,OAF,0.0,0.0956320907617504
FICO,RABIT,0.002,0.06060777957860616
FICO,Vanilla,0.0,0.06376418152350082
FICO,OAF,0.0,0.10871555915721232
FICO,RABIT,0.002,0.06277552674230145
FICO,Vanilla,0.0,0.05482171799027553
FICO,OAF,0.0,0.0976904376012966
FICO,RABIT,0.002,0.05815235008103728
FICO,Vanilla,0.0,0.07232982171799028
FICO,OAF,0.0,0.09839951377633711
FICO,RABIT,0.002,0.07224068071312804
FICO,Vanilla,0.0,0.06128444084278768
FICO,OAF,0.0,0.09724473257698542
FICO,RABIT,0.002,0.06206239870340356
FICO,Vanilla,0.0,0.0640032414910859
FICO,OAF,0.0,0.10325364667747164
FICO,RABIT,0.002,0.061896272285251214
FICO,Vanilla,0.0,0.0628322528363047
FICO,OAF,0.0,0.09262560777957861
FICO,RABIT,0.002,0.06026742301458671
FICO,Vanilla,0.0,0.06670178282009724
FICO,OAF,0.0,0.09239870340356564
FICO,RABIT,0.002,0.06848865478119935
FICO,Vanilla,0.0,0.06441247974068072
FICO,OAF,0.0,0.0943679092382496
FICO,RABIT,0.002,0.05848460291734198
FICO,Vanilla,0.0,0.06261345218800649
FICO,OAF,0.0,0.09524311183144246
FICO,RABIT,0.002,0.06277552674230145
COMPAS,Vanilla,0.0,0.10828713968957872
COMPAS,OAF,0.0,0.11427383592017738
COMPAS,RABIT,0.002,0.10905764966740576
COMPAS,Vanilla,0.0,0.10363636363636364
COMPAS,OAF,0.0,0.11175166297117517
COMPAS,RABIT,0.002,0.11449556541019956
COMPAS,Vanilla,0.0,0.10213414634146341
COMPAS,OAF,0.0,0.1092960088691796
COMPAS,RABIT,0.002,0.10651884700665189
COMPAS,Vanilla,0.0,0.10287694013303769
COMPAS,OAF,0.0,0.10820953436807096
COMPAS,RABIT,0.002,0.1099390243902439
COMPAS,Vanilla,0.0,0.10462305986696231
COMPAS,OAF,0.0,0.11875831485587583
COMPAS,RABIT,0.002,0.1143680709534368
COMPAS,Vanilla,0.0,0.10847006651884701
COMPAS,OAF,0.0,0.11793237250554324
COMPAS,RABIT,0.002,0.11324833702882484
COMPAS,Vanilla,0.0,0.11139135254988913
COMPAS,OAF,0.0,0.11386363636363636
COMPAS,RABIT,0.002,0.11394124168514412
COMPAS,Vanilla,0.0,0.111990022172949
COMPAS,OAF,0.0,0.11720066518847007
COMPAS,RABIT,0.002,0.11978935698447894
COMPAS,Vanilla,0.0,0.11057095343680709
COMPAS,OAF,0.0,0.1195509977827051
COMPAS,RABIT,0.002,0.1189190687361419
COMPAS,Vanilla,0.0,0.10136917960088691
COMPAS,OAF,0.0,0.11022172949002217
COMPAS,RABIT,0.002,0.11017184035476718
Adult,Vanilla,0.0,0.04053803947260667
Adult,OAF,0.0,0.0630816476947015
Adult,RABIT,0.002,0.04332405208418639
Adult,Vanilla,0.0,0.04001310293997216
Adult,OAF,0.0,0.06387847023175824
Adult,RABIT,0.002,0.04500286626811891
Adult,Vanilla,0.0,0.03910981901564164
Adult,OAF,0.0,0.060181803292113666
Adult,RABIT,0.002,0.04006633363360904
Adult,Vanilla,0.0,0.040725575300958154
Adult,OAF,0.0,0.06977888788796986
Adult,RABIT,0.002,0.04712472360985996
Adult,Vanilla,0.0,0.03845467201703382
Adult,OAF,0.0,0.06162394562279912
Adult,RABIT,0.002,0.04171075260011465
Adult,Vanilla,0.0,0.03880599459503726
Adult,OAF,0.0,0.0599959053312587
Adult,RABIT,0.002,0.04255753009581525
Adult,Vanilla,0.0,0.03777413807222996
Adult,OAF,0.0,0.06561297191057243
Adult,RABIT,0.002,0.039421832773728606
Adult,Vanilla,0.0,0.0415428711817214
Adult,OAF,0.0,0.06647858488248301
Adult,RABIT,0.002,0.046383588567684875
Adult,Vanilla,0.0,0.040330849234296945
Adult,OAF,0.0,0.06441487183686839
Adult,RABIT,0.002,0.04706985504872656
Adult,Vanilla,0.0,0.0382392924412415
Adult,OAF,0.0,0.06798869871427402
Adult,RABIT,0.002,0.04088035377937925
Bail,Vanilla,0.0,0.11855221873599282
Bail,OAF,0.0,0.14818915284625728
Bail,RABIT,0.002,0.10018377409233528
Bail,Vanilla,0.0,0.10227252353204841
Bail,OAF,0.0,0.13117884356790677
Bail,RABIT,0.002,0.09995965934558494
Bail,Vanilla,0.0,0.09464365755266696
Bail,OAF,0.0,0.15236665172568356
Bail,RABIT,0.002,0.09991931869116988
Bail,Vanilla,0.0,0.11881667413715823
Bail,OAF,0.0,0.14574630210667863
Bail,RABIT,0.002,0.12031376064545048
Bail,Vanilla,0.0,0.11845809054235769
Bail,OAF,0.0,0.1323263110712685
Bail,RABIT,0.002,0.10777229941730165
Bail,Vanilla,0.0,0.10898251904975348
Bail,OAF,0.0,0.14023756163155535
Bail,RABIT,0.002,0.09665620797848498
Bail,Vanilla,0.0,0.10726131779471089
Bail,OAF,0.0,0.1488704616763783
Bail,RABIT,0.002,0.1051367099955177
Bail,Vanilla,0.0,0.11745853877185118
Bail,OAF,0.0,0.14468399820708203
Bail,RABIT,0.002,0.10848498431196772
Bail,Vanilla,0.0,0.11754370237561632
Bail,OAF,0.0,0.15182877633348274
Bail,RABIT,0.002,0.10514567458538772
Bail,Vanilla,0.0,0.11509636934110265
Bail,OAF,0.0,0.14597938144329897
Bail,RABIT,0.002,0.11047960555804572
